name       ,selector   ,type           ,hidden ,width ,editable ,decimals ,isPill ,align ,cn ,export ,chart ,searchable ,detail ,sortable ,underField ,onDisplay     ,onAccept ,onValidate
ID         ,id         ,string         ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,getFieldValue ,         ,
Address    ,address    ,address        ,       ,      ,         ,         ,       ,      ,   ,       ,      ,true       ,         ,         ,           ,              ,         ,
Interfaces ,interfaces ,CFunctionArray ,       ,      ,         ,         ,       ,      ,   ,       ,      ,           ,         ,         ,           ,              ,         ,
